胡的接班人	胡****
钦定接班人	钦****
习近平	习**
平近习	平**
xjp	x**
习太子	习**
习明泽	习**
老习	老*
温家宝	温**
温加宝	温**
温x	温*
温jia宝	温****
温宝宝	温**
温加饱	温**
温加保	温**
张培莉	张**
温云松	温**
温如春	温**
温jb	温**
胡温	胡*
胡x	胡*
胡jt	胡**
胡boss	胡****
胡总	胡*
胡王八	胡**
hujintao	h*******
胡jintao	胡******
胡j涛	胡**
胡惊涛	胡**
胡景涛	胡**
胡紧掏	胡**
湖紧掏	湖**
胡紧套	胡**
锦涛	锦*
hjt	h**
胡派	胡*
胡主席	胡**
刘永清	刘**
胡海峰	胡**
胡海清	胡**
江泽民	江**
民泽江	民**
江胡	江*
江哥	江*
江主席	江**
江书记	江**
江浙闽	江**
江沢民	江**
江浙民	江**
择民	择*
则民	则*
茳泽民	茳**
zemin	z****
ze民	z**
老江	老*
老j	老*
江core	江****
江x	江*
江派	江*
江zm	江**
jzm	j**
江戏子	江**
江蛤蟆	江**
江某某	江**
江贼	江*
江猪	江*
江氏集团	江***
江绵恒	江**
江绵康	江**
王冶坪	王**
江泽慧	江**
邓小平	邓**
平小邓	平**
xiao平	x****
邓xp	邓**
邓晓平	邓**
邓朴方	邓**
邓榕	邓*
邓质方	邓**
毛泽东	毛**
猫泽东	猫**
猫则东	猫**
chairmanmao	c**********
猫贼洞	猫**
毛zd	毛**
毛zx	毛**
z东	z*
ze东	z**
泽d	泽*
zedong	z*****
毛太祖	毛**
毛相	毛*
主席画像	主***
改革历程	改***
朱镕基	朱**
朱容基	朱**
朱镕鸡	朱**
朱容鸡	朱**
朱云来	朱**
李鹏	李*
李peng	李****
里鹏	里*
李月月鸟	李***
李小鹏	李**
李小琳	李**
华主席	华**
华国	华*
国锋	国*
国峰	国*
锋同志	锋**
白春礼	白**
薄熙来	薄**
薄一波	薄**
蔡赴朝	蔡**
蔡武	蔡*
曹刚川	曹**
常万全	常**
陈炳德	陈**
陈德铭	陈**
陈建国	陈**
陈良宇	陈**
陈绍基	陈**
陈同海	陈**
陈至立	陈**
戴秉国	戴**
丁一平	丁**
董建华	董**
杜德印	杜**
杜世成	杜**
傅锐	傅*
郭伯雄	郭**
郭金龙	郭**
贺国强	贺**
胡春华	胡**
耀邦	耀*
华建敏	华**
黄华华	黄**
黄丽满	黄**
黄兴国	黄**
回良玉	回**
贾庆林	贾**
贾廷安	贾**
靖志远	靖**
李长春	李**
李春城	李**
李建国	李**
李克强	李**
李岚清	李**
李沛瑶	李**
李荣融	李**
李瑞环	李**
李铁映	李**
李先念	李**
李学举	李**
李源潮	李**
栗智	栗*
梁光烈	梁**
廖锡龙	廖**
林树森	林**
林炎志	林**
林左鸣	林**
令计划	令**
柳斌杰	柳**
刘奇葆	刘**
刘少奇	刘**
刘延东	刘**
刘云山	刘**
刘志军	刘**
龙新民	龙**
路甬祥	路**
罗箭	罗*
吕祖善	吕**
马飚	马*
马恺	马*
孟建柱	孟**
欧广源	欧**
强卫	强*
沈跃跃	沈**
宋平顺	宋**
粟戎生	粟**
苏树林	苏**
孙家正	孙**
铁凝	铁*
屠光绍	屠**
王东明	王**
汪东兴	汪**
王鸿举	王**
王沪宁	王**
王乐泉	王**
王洛林	王**
王岐山	王**
王胜俊	王**
王太华	王**
王学军	王**
王兆国	王**
王振华	王**
吴邦国	吴**
吴定富	吴**
吴官正	吴**
无官正	无**
吴胜利	吴**
吴仪	吴*
奚国华	奚**
习仲勋	习**
徐才厚	徐**
许其亮	许**
徐绍史	徐**
杨洁篪	杨**
叶剑英	叶**
由喜贵	由**
于幼军	于**
俞正声	俞**
袁纯清	袁**
曾培炎	曾**
曾庆红	曾**
曾宪梓	曾**
曾荫权	曾**
张德江	张**
张定发	张**
张高丽	张**
张立昌	张**
张荣坤	张**
张志国	张**
赵洪祝	赵**
紫阳	紫*
周生贤	周**
周永康	周**
朱海仑	朱**
政治局常委	政****
中纪委	中**
主席像	主**
总书记	总**
中南海	中**
大陆当局	大***
中国当局	中***
北京当局	北***
共产党	共**
党产共	党**
gcd	g**
共贪党	共**
gongchandang	g***********
阿共	阿*
共一产一党	共****
产党共	产**
公产党	公**
工产党	工**
共c党	共**
共x党	共**
共铲	共*
供产	供*
共惨	共*
供铲党	供**
供铲谠	供**
供铲裆	供**
共残党	共**
共残主义	共***
共产主义的幽灵	共******
拱铲	拱*
老共	老*
中共	中*
中珙	中*
中gong	中****
gc党	g**
贡挡	贡*
gong党	g****
g产	g*
狗产蛋	狗**
共残裆	共**
恶党	恶*
邪党	邪*
共产专制	共***
共产王朝	共***
裆中央	裆**
土共	土*
土g	土*
共狗	共*
g匪	g*
共匪	共*
仇共	仇*
communistparty	c*************
政府	政*
症腐	症*
政腐	政*
政付	政*
正府	正*
政俯	政*
政一府	政**
政百度府	政***
政f	政*
zhengfu	z******
政zhi	政***
挡中央	挡**
档中央	档**
中央领导	中***
中国zf	中***
中央zf	中***
国wu院	国***
中华帝国	中***
gong和	g****
大陆官方	大***
北京政权	北***
126am	1****
12个春秋	1****
18av	1***
1989天安门	1******
1等奖	1**
21世纪中国基金会	2********
2逼	2*
3D纹眼线	3****
3个代表	3***
4.25事件	4*****
610洗脑班	6*****
622848	6*****
6冰	6*
7.31	7***
一夜情	一**
7vdcn	7****
9.635	9****
95588	9****
955cc	9****
9评	9*
?????	?****
AV女优	A***
A极	A*
A片软件	A***
B样	B*
B草	B*
CDMA	C***
FALUN	F****
FUCK	F***
GCD	G**
G点刺激棒	G****
IDP教育集团	I******
IP17908	I******
J巴	J*
KISS	K***
K仔	K*
K粉	K*
PK黑社会	P****
SB	S*
SIM卡抽奖	S*****
SPA保健	S****
TMD	T**
X你	X*
X夜激情	X***
X服务	X**
a片	a*
baidws	b*****
bignews	b******
bitch	b****
bjhb	b***
boxun	b****
chinaliberal	c***********
chinamz	c******
chinesenewsnet	c*************
creaders	c*******
dajiyuan	d*******
dfdz	d***
dwzcn	d****
emay	e***
embed	e****
falun	f****
falundafa	f********
falungong	f********
fa轮	f**
freechina	f********
freenet	f******
hongzhi	h******
hrichina	h*******
huanet	h*****
incest	i*****
jiangdongriji	j************
quannengshen	q***********
sb	s*
suoim	s****
xkg95tv	x******
xpgd	x***
yqzbw	y****
ztcme	z****
一中一台	一***
一党专制	一***
一党专政	一***
一凤	一*
一本道	一**
丁关根	丁**
万润南	万**
万维读者论坛	万*****
三个代表	三***
三唑仑	三**
三水法轮	三***
三点水	三**
三班仆人派	三****
三码	三*
三级片	三**
三陪	三*
上访	上*
下法轮	下**
不要脸	不**
与美女过夜	与****
专业代考	专***
世界以利亚福音宣教会	世*********
东北独立	东***
东南西北论	东****
东土耳其斯坦	东*****
东方发出的闪电	东******
东方红时空	东****
东方闪电	东***
东突	东*
东突厥斯坦	东****
东突厥斯坦伊斯兰	东*******
东突厥斯坦伊斯兰运动	东*********
东西南北论坛	东*****
两个中国	两***
两岸三地论坛	两*****
两性狂情	两***
严家其	严**
严家祺	严**
严隽琪	严**
中一九骏	中***
中俄密约	中***
中俄边界	中***
中俄边界新约	中*****
中全会	中**
中共中央	中***
中共中央大换血	中******
中共中央黑幕	中*****
中共伪政权	中****
中共太子	中***
中共当局	中***
中共心中最大的恐惧	中********
中共政坛腐败内幕	中*******
中共政治新星	中*****
中共政治流氓	中*****
中共独裁	中***
中共统治	中***
中共领导人黑幕	中******
中华人民实话实说	中*******
中华人民正邪	中*****
中华养生益智功	中******
中华大众	中***
中华大地思考	中*****
中华时事	中***
中华真实报道	中*****
中华讲清	中***
中南海内幕	中****
中南海内斗	中****
中南海惊现东宫小朝廷	中*********
中南海斗争	中****
中南海权利斗争	中******
中南海权力斗争	中******
中南海浓云密布	中******
中南海的权利游戏	中*******
中南海秘闻	中****
中南海高层权利斗争	中********
中国之春	中***
中国六四真相	中*****
中国在统一问题上的投降主义	中************
中国复兴论坛	中*****
中国孤儿院	中****
中国报禁	中***
中国改革年代政治斗争	中*********
中国改革开放	中*****
中国政坛	中***
中国政治	中***
中国民主	中***
中国泛蓝联盟	中*****
中国猪	中**
中国真实内容	中*****
中国社会的艾滋病	中*******
中国社会论坛	中*****
中国社会进步党	中******
中国论坛	中***
中国问题论坛	中*****
中国高层人事变动解读	中*********
中国高层权力斗争	中*******
中國當局	中***
中坤广场	中***
中央派系斗争	中*****
中奖	中*
中奖信息	中***
中宣部	中**
中级职称开班中	中******
中行	中*
中街九龙港	中****
主神教	主**
乌云其木	乌***
九码	九*
九评	九*
买春	买*
乱伦	乱*
乱倫	乱*
乱叫	乱*
乱论	乱*
乳交	乳*
乳臀	乳*
亂倫	亂*
争鸣论坛	争***
二B	二*
二逼	二*
五套功法	五***
亚洲自由之声	亚*****
亡党	亡*
交媾	交*
交换夫妻	交***
人与兽	人**
人兽	人*
人民之声论坛	人*****
人民内情真相	人*****
人民大众时事参考	人*******
人民报讯	人***
人民真实报道	人*****
人渣	人*
亿美	亿*
仁吉旺姆	仁***
仁和会计	仁***
他妈的	他**
他娘的	他**
代办证件	代***
代卖发票	代***
代售发票	代***
代开	代*
代开发票	代***
代开增值税	代****
代缴发票	代***
代缴税	代**
以血护法	以***
以身护法	以***
仿真枪	仿**
仿真飘眉	仿***
伊斯兰运动	伊****
伍凡	伍*
伟哥	伟*
传票	传*
传销	传*
伦功	伦*
伦特微	伦**
低押	低*
佛展千手法	佛****
佛法	佛*
你大爷	你**
你妈	你*
你妈的	你**
你妈逼	你**
你妹的	你**
你娘的	你**
你说我说论坛	你*****
佳静安定片	佳****
侦探设备	侦***
侮辱	侮*
促销术语脑白金	促******
保利泉馨苑	保****
保就业	保**
信用借款	信***
信用岱	信**
修炼	修*
修练	修*
倒卖	倒*
倒台	倒*
倖運號碼	倖***
